,Company,Industry,Country,Market Value,Sales,Profits,Assets,Rank,Profits as % of Assets,Profits as % of Sales,description
1882,Singapore Exchange,Diversified Financials,Singapore,5.89,0.41,0.21,0.98,1883,0.214285714285714,0.51219512195122,"Singapore Exchange Limited (SGX, SGX: S68) is an investment holding company located in Singapore and provides different services related to securities and derivatives trading and others. SGX is a member of the World Federation of Exchanges and the Asian and Oceanian Stock Exchanges Federation."
1883,Luzhou Laojiao,"Food, Drink & Tobacco",China,6.79,0.53,0.19,0.75,1884,0.253333333333333,0.358490566037736,"Luzhou Laojiao (泸州老窖; Luzhou Old Cellar) is a Chinese liquor distilled from fermented sorghum. It is a baijiu of the ""strong aroma"" class. It is produced by Luzhou Laojiao Company Limited, which is headquartered in Luzhou, in southern Sichuan, China."
1884,Technical Olympiaki,Construction,Greece,0.1,0.24,0.51,0.96,1884,0.53125,2.125,"Olympic Airlines (Greek: Ολυμπιακές Αερογραμμές, Olympiakés Aerogrammés – OA), formerly named Olympic Airways for at least four decades, was the flag carrier airline of Greece.   The airline's head office was located in Athens. The airline operated services to 37 domestic destinations and to 32 destinations world-wide. The airline's main base was at Athens International Airport, with hubs at Thessaloniki International Airport, ""Macedonia"", Heraklion International Airport, ""Nikos Kazantzakis""  and Rhodes International Airport, ""Diagoras"". Olympic Airlines also owned a base at London Heathrow International Airport.  By December 2007, the airline employed about 8,500 staff.Olympic Airlines was also accredited by IATA with the IOSA (IATA Operational Safety Audit) for their safety practices.On 6 March 2009, the Greek State announced it had reached an agreement to sell the flight operations, ground handling operations and technical base of the group to Marfin Investment Group, the largest Greek investment fund, thus ending 35 years of state ownership.
On 29 September 2009 Olympic Airlines ceased all operations and most flights. Olympic Air, the new airline formed from  privatisation, commenced flights. Olympic Airlines continued to operate some public service flights to Greek islands as well as some flights to destinations outside the European Union (Cairo, Alexandria, Tel Aviv, Beirut, Belgrade) until the Greek State conducted a public tender and redistributed the routes.
On 31 December 2009 Olympic Airlines ceased all operations, as flights to Greek islands have already been allocated and are being flown by other carriers and flights to destinations outside the European Union have been allocated to other carriers who started operating them from 1 January 2010. Until the final closure, Olympic Airlines used the temporary code OP for their flights (instead of OA, which is used by their successor, Olympic Air). All Olympic Airlines flights (using the OP code) since 29 September 2009 and until the final deadline of 31 December 2009, were operated by Olympic Air on a wet lease basis. The 31 December 2009 deadline as the final possible date that Olympic Airlines should cease operations, was agreed between the Greek Government and the European Commission as part of the deal to close Olympic Airlines and sell the name and assets to Olympic Air. It was initially expected that operations would end much earlier, but due to the change of government in October 2009 the public tenders for the reallocation of subsidised flights to the Greek islands and for international flight rights outside the European Union were postponed. The company stayed alive until the final deadline of 31 December 2009."
1885,Buenaventura,Materials,Peru,9.27,0.74,0.15,1.99,1886,0.0753768844221105,0.202702702702703,"Compañia de Minas Buenaventura is a Peruvian precious metals company engaged in the mining and exploration of gold, silver and other metals.

"
1886,ProSiebenSat.1 Media,Media,Germany,3.25,3.96,0.21,8.12,1887,0.0258620689655172,0.053030303030303,"ProSiebenSat.1 Media SE (officially abbreviated as P7S1, formerly ProSiebenSat.1 Media AG) is a German mass media company. It operates free-to-air commercial TV channels, pay television channels, radio stations and related print businesses. It also operates advertising platform solutions through AdTech and SevenVentures, and is working on new digital platforms (e.g. maxdome, Joyn), among other projects. It was formed on October 2, 2000 by the merger of German TV broadcasters ProSieben Media AG (founded in 1989) and Sat.1 SatellitenFernsehen GmbH (founded in 1984 as PKS (Programmgesellschaft für Kabel- und Satellitenrundfunk)). The company is listed on the Frankfurt Stock Exchange.

"
1887,Roper Industries,Capital Goods,United States,5.22,2.05,0.24,4.33,1888,0.0554272517321016,0.117073170731707,"Roper Technologies, Inc. (formerly Roper Industries, Inc.) is an American diversified industrial company that produces engineered products for global niche markets. The company is headquartered in Sarasota, Florida.
Roper provides a wide range of products and services to customers in over 100 countries. The company has four main business lines: Industrial Technology, Radio Frequency (RF) Technology, Scientific and Industrial Imaging, and Energy Systems and Controls. Roper joined the Russell 1000 index in 2004, and has annual revenues of more than US$1.23 billion, as of 2017."
1888,Atmos Energy,Utilities,United States,2.6,4.55,0.21,6.88,1889,0.0305232558139535,0.0461538461538462,"Atmos Energy Corporation, headquartered in Dallas, Texas, is one of the United States' largest natural-gas-only distributors, serving about three million natural gas distribution customers in over 1,400 communities in nine states from the Blue Ridge Mountains in the East to the Rocky Mountains in the West.
Atmos Energy also manages company-owned natural gas pipeline and storage assets, including one of the largest intrastate natural gas pipeline systems in Texas."
1889,Urban Outfitters,Retailing,United States,5.59,1.94,0.22,1.64,1890,0.134146341463415,0.11340206185567,"Urban Outfitters, Inc. (URBN) is a multinational lifestyle retail corporation headquartered in Philadelphia, Pennsylvania. It operates in the United States, Sweden, United Kingdom, Spain, Denmark, France, Germany, Ireland, Belgium, Canada, Italy, the Netherlands, Israel, Poland, and the United Arab Emirates. The Urban Outfitters brand targets young adults with a merchandise mix of women's and men's fashion apparel, footwear, beauty and wellness products, accessories, activewear and gear, and housewares, as well as music, primarily vinyl records and cassettes. Much of the merchandise is designed and produced by the company's wholesale division on multiple private labels.The company was founded as the retail store Free People by Richard Hayne, Judy Wicks, and Scott Belair in 1970 as a project for an entrepreneurship class at University of Pennsylvania. It was renamed to Urban Outfitters and incorporated in 1976.Urban Outfitters, Inc. (URBN) carries multiple stores within the URBN portfolio of brands, which also includes Anthropologie, Free People, Terrain, BHLDN and the Vetri Family restaurant group."
1890,San-Ai Oil,Oil & Gas Operations,Japan,0.29,10.08,0.05,1.98,1891,0.0252525252525253,0.00496031746031746,"San-Ai Oil Co., Ltd. (三愛石油株式会社, San-Ai Sekiyu Kabushiki-gaisha) (TYO: 8097) is a Japanese corporation dealing in petroleum products, aviation fuel storage and related services. Established in 1952, San-Ai has a market capitalization of 72.91 billion yen. It is a member of the Ricoh San-Ai Group. Its headquarters are in Shinagawa, Tokyo. 
In December 2004, San-Ai purchased Kygnus Oil from Tonen General Sekiyu and Nichimo, which each owned 50% of Kygnus.

"
1891,Akita Bank,Banking,Japan,0.78,0.55,-0.02,22.88,1892,-0.000874125874125874,-0.0363636363636364,"The Akita Bank, Ltd. (株式会社秋田銀行, Kabushiki-gaisha Akita Ginkō) (TYO: 8343) is a Japanese regional bank headquartered in the city of Akita, Akita Prefecture. Although the bank’s core business comes from Akita prefecture, various branches are situated outside of the area. These include Koriyama, Sapporo, Morioka, Sendai, and Tokyo. The bank was noted for its initial reluctance to establish a wide ATM network, finally implementing one in January 2003.

"
1892,Associated Banc-Corp,Banking,United States,2.25,1.33,-0.13,22.87,1893,-0.00568430257979886,-0.0977443609022556,"Associated Banc-Corp is a U.S. regional bank holding company providing retail banking, commercial banking, commercial real estate lending, private banking, and specialized financial services. It is headquartered in Green Bay, Wisconsin, and is the largest bank (by asset size) headquartered in Wisconsin. It has over 230 banking locations serving more than 110 communities throughout Wisconsin, Illinois, and Minnesota, and commercial financial services in Indiana, Michigan, Missouri, Ohio, and Texas.
At June 30, 2020, it had $36 billion in assets and was one of the top 50 publicly traded U.S. bank holding companies. Associated Bank is a nationally chartered bank, regulated by the Office of the Comptroller of the Currency within the Department of the Treasury. Associated Bank is a member of the Federal Deposit Insurance Corporation, the Federal Reserve Bank of Chicago, and the Federal Home Loan Bank of Chicago. The company has approximately 4,300 employees."
1893,Toyota Boshoku,Consumer Durables,Japan,3.23,10.06,-0.05,4.58,1894,-0.0109170305676856,-0.00497017892644135,"Toyota Boshoku Corporation (トヨタ紡織株式会社, Toyota Boshoku Kabushikigaisha, TYO: 3116) is a Japanese automotive component manufacturer. It is a member of the Toyota Group of companies. Toyota Boshoku Corporation entered the North American market via Toyota Boshoku America (located, inter alia, in Erlanger, Kentucky).

"
1894,XCMG Construction Machinery,Capital Goods,China,4.77,2.68,0.26,2.19,1894,0.118721461187215,0.0970149253731343,"XCMG Group (Chinese: 徐工集团; pinyin: Xúgōng Jítuán) is a Chinese multinational state-owned heavy machinery manufacturing company with headquarters in Xuzhou, Jiangsu. As of 2016, it ranks 5th in the world's construction machinery industry, 122nd among the Top 500 Chinese enterprises, 49th among the Top 100 enterprises in the Chinese manufacturing industry, and 2nd among the Top 100 enterprises in Chinese machine-building industry. These ranks are in terms of size, as it is a large enterprise Chinese construction company.XCMG was founded in 1989. Its subsidiary, XCMG Construction Machinery Co. Ltd., is listed on the Shenzhen Stock Exchange SZSE: 000425."
1895,Cobham,Aerospace & Defense,United Kingdom,4.22,3.04,0.3,3.91,1896,0.0767263427109974,0.0986842105263158,"Cobham Limited is a British aerospace  manufacturing company based in Wimborne Minster, England.
Cobham was originally founded by Sir Alan Cobham as Flight Refuelling Limited (FRL) in 1934. During 1939, British airline Imperial Airways performed several non-stop crossings of the Atlantic using equipment provided by FRL. During the late 1940s, the company's aerial refuelling equipment broke new ground, including a round-the-world flight by specially-equipped Boeing B-50 Superfortresses in 1948 and the demonstration of the now-widely used 'probe and drogue' method of air-to-air refuelling for the first time in 1949. A wide range of aircraft have since been equipped with Cobham's refuelling equipment.
The company has grown and diversified into various markets, often through acquisitions. Michael Cobham, Alan's son, took over its leadership during 1969. During 1994, the firm was formally renamed Cobham plc; by this point, the company had in excess of 10,000 employees and had operations present in North America, Europe, Malaysia and South Africa. In January 2020, the company was acquired by American private equity firm Advent International for £4 billion."
1896,Sino-Forest,Materials,Canada,4.34,1.24,0.29,3.96,1896,0.0732323232323232,0.233870967741935,"Sino-Forest Corporation (Sino-Forest) (TSX: TRE) (Chinese: 嘉汉林业; pinyin: Jiāhàn Línyè) claimed at one time to be one of the leading commercial forest plantation operators in China. In 2011, the company was accused of fraud and found itself under investigation by the Royal Canadian Mounted Police and the Ontario Securities Commission. On March 30, 2012 Sino-Forest filed for bankruptcy protection in Canada. It also announced that the company would be sold or restructured, with the proceeds going to its creditors. On July 13, 2017, the OSC released its decision finding that Sino-Forest and four individuals, including former CEO Allen Chan, committed fraud.
It is not to be confused with China Forestry Holdings Ltd. (HK:0930) or the Chinese state-owned China Forestry Group Corporation (CFGC)."
1897,Mitsui Engineering & Ship,Capital Goods,Japan,1.98,7.05,0.11,7.27,1898,0.015130674002751001,0.0156028368794326,"Mitsui Engineering & Shipbuilding (三井造船, Mitsui Zōsen) (TYO: 7003) is a Japanese company. It is listed on the Nikkei 225.Established in 1917 as the Shipbuilding Division of Mitsui & Co. with the first shipyard at Tamano. In 1937 the shipyards became a separate entity of Mitsui, Tama Shipyard.
The company changed to Mitsui Shipbuilding & Engineering Co., Ltd in 1942 and finally to the current name in 1973."
1898,BJ's Wholesale Club,Retailing,United States,2.02,9.95,0.13,2.17,1899,0.0599078341013825,0.0130653266331658,"BJ's Wholesale Club Holdings, Inc., commonly referred as BJ's, is an American membership-only warehouse club chain based in Westborough, Massachusetts, operating on the East Coast of the United States and the states of Ohio and Michigan.

"
1899,Singapore Press,Media,Singapore,4.25,0.9,0.29,2.25,1900,0.128888888888889,0.322222222222222,"Singapore is a global city and sovereign state in Southeast Asia and the world's only island city-state. Singapore has a highly developed market economy, based historically on extended entrepôt trade. Along with Hong Kong, South Korea, and Taiwan, Singapore is one of the original Four Asian Tigers, but has surpassed its peers in terms of GDP per capita. Between 1965 and 1995, growth rates averaged around 6 per cent per annum, transforming the living standards of the population. The Singaporean economy is known as one of the freest, most innovative, most competitive, most dynamic and most business-friendly. The 2015 Index of Economic Freedom ranks Singapore as the second-freest economy in the world and the Ease of Doing Business Index has also ranked Singapore as the easiest place to do business for the past decade. According to the Corruption Perceptions Index, Singapore is consistently ranked as one of the least corrupt countries in the world, along with New Zealand and the Scandinavian countries.
To start a business in Singapore, business owners have to register with the Accounting and Corporate Regulatory Authority (ACRA). ACRA is the national regulator and company registrar of business entities, accountants and service providers in Singapore."
1900,Murray & Roberts Holdings,Construction,South Africa,1.63,4.37,0.26,3.0,1901,0.0866666666666667,0.0594965675057208,"Murray and Roberts Holdings Ltd. is a South African based engineering and mining contractor, located in Johannesburg, South Africa and is listed on the JSE Securities Exchange. Murray & Roberts is South Africa's leading engineering, contracting and construction services company, with a primary focus on the resources-driven construction markets in industry & mining, oil & gas and power & energy in Africa, Middle East, Southeast Asia, Australasia and North and South America.
The company offers civil, mechanical, electrical, mining and process engineering; and management of concession operations. In addition to the many buildings, Murray & Roberts has been involved in the construction of the Gautrain railroad, the Medupi Power Station, and the Cape Town Stadium.

"
1901,Edwards Lifesciences,Health Care Equipment & Svcs,United States,5.3,1.32,0.23,1.62,1902,0.141975308641975,0.174242424242424,"Edwards Lifesciences is an American medical technology company headquartered in Irvine, California, specializing in artificial heart valves and hemodynamic monitoring. It developed the SAPIEN transcatheter aortic heart valve made of cow tissue within a balloon-expandable, cobalt-chromium frame, deployed via catheter. The company has manufacturing facilities at the Irvine headquarters, as well as in Draper, Utah; Costa Rica; the Dominican Republic; Puerto Rico; and Singapore; and is building a new facility due to be completed in 2021 in Limerick, Ireland."
1902,Fastenal,Retailing,United States,6.62,1.93,0.18,1.33,1903,0.13533834586466198,0.0932642487046632,"Fastenal Company is an American company based in Winona, Minnesota. Distributing goods used by other businesses, it has over 2,200 branches throughout the US, Canada, Mexico, Puerto Rico and Europe along with 13 distribution centers.  Fastenal resells industrial, safety, and construction supplies and offers services including inventory management, manufacturing, and tool repair. Fastenal refers to itself as an industrial supply company, and Reuters calls it an industrial distributor. Fastenal is also a big sponsor of NASCAR since 2006."
1903,Symetra Financial,Insurance,United States,1.54,1.71,0.13,22.44,1904,0.005793226381461679,0.0760233918128655,"Symetra is an American family of companies providing retirement plans, employee benefits, annuities and life insurance through independent distributors nationwide. The main headquarters of the company is located in Bellevue, Washington.

"
1904,Admiral Group,Insurance,United Kingdom,5.04,0.78,0.24,1.48,1905,0.162162162162162,0.307692307692308,"Admiral Group plc is a British financial services company headquartered in Cardiff, Wales. Listed on the London Stock Exchange, it is a constituent of the FTSE 100 Index, and markets the Admiral, Bell, Elephant and Diamond vehicle insurance brands, as well as operating the price comparison services Confused.com and Compare.com. The group employs more than 10,000 people across its brands."
1905,Old Republic Intl,Insurance,United States,2.71,3.8,-0.1,14.19,1906,-0.0070472163495419295,-0.0263157894736842,"This list comprises the largest companies in the United States by consolidated revenue as of 2020, according to the Fortune 500 tally. Retail corporation Walmart has been the largest company in the US by revenue since 2014.
Only companies that publish financial data and report figures to a government agency are included. Therefore, this list is incomplete as it excludes large private companies such as Cargill and Koch Industries.

"
1906,Markel,Insurance,United States,3.47,2.07,0.2,10.24,1907,0.01953125,0.0966183574879227,"Markel Corporation is a holding company for insurance, reinsurance, and investment operations around the world. Headquartered in Richmond, Virginia and founded in 1930, Markel reports its ongoing underwriting operations in three segments, and products originate from three insurance divisions and one reinsurance division. Through Markel Ventures, they allocate capital to invest in opportunities outside of insurance.

"
1907,Aurubis,Materials,Germany,1.96,9.79,-0.07,4.15,1908,-0.0168674698795181,-0.00715015321756895,"Aurubis AG (formerly Norddeutsche Affinerie AG) is listed on the stock exchange and is the largest copper producer in Europe (the second largest in the world) and the largest copper recycler worldwide. Its headquarters is in Hamburg, Germany. After the acquisition of the Belgian copper producer Cumerio by Norddeutsche Affinerie AG on 18 February 2008, the company re-branded itself as Aurubis as of 1 April 2009.
Aurubis produces more than one million tonnes of copper cathodes annually and from them a variety of copper products. It employs about 7,400 people (updated: January 2021).

"
1908,Lundbergs,Diversified Financials,Sweden,2.98,2.94,0.22,10.23,1909,0.021505376344086002,0.0748299319727891,"L E Lundbergföretagen AB (called Lundbergföretagen or Lundbergs) is an investment company controlled by the Swedish businessman Fredrik Lundberg and family.

"
1909,UCO Bank,Banking,India,0.68,1.78,0.11,22.01,1910,0.00499772830531577,0.0617977528089888,"UCO Bank, formerly United Commercial Bank, established in 1943 in Kolkata, is a major government-owned commercial bank of India. During FY 2013–14, its total business was ₹ 4.55 lakh crore. Based on 2014 data, it is ranked 1860 on the Forbes Global 2000 list. UCO Bank was ranked 294th among India's most trusted brands according to the Brand Trust Report 2014, a study conducted by Trust Research Advisory. It was a rise of 796 ranks considering it was listed at the 1090th position among India's most trusted brands in the Brand trust Report 2013. As of 30 March 2017 the bank had 4,000 plus service units 49 zonal offices spread all over India. It also has two overseas branches in Singapore and Hong Kong. UCO Bank's headquarters is on BTM Sarani, Kolkata."
1910,Hokuetsu Bank,Banking,Japan,0.42,0.53,-0.09,21.89,1911,-0.0041114664230242105,-0.169811320754717,"SoftBank Group Corp. is a Japanese multinational conglomerate holding company headquartered in Minato, Tokyo. SoftBank owns stakes in many technology, energy, and financial companies. It also runs Vision Fund, the world's largest technology-focused venture capital fund, with over $100 billion in capital.The company is known for its leadership by founder Masayoshi Son.  It operates in broadband, fixed-line telecommunications, e-commerce, internet, technology services, finance, media and marketing, semiconductor design, and other areas.
SoftBank was ranked in the Forbes Global 2000 list as the 36th largest public company in the world, and the second largest publicly traded company in Japan after Toyota.The logo of SoftBank is based on the flag of the Kaientai, a naval trading company that was founded in 1865, near the end of the Tokugawa shogunate, by Sakamoto Ryōma.Although SoftBank does not affiliate itself to any traditional keiretsu, it has close ties with Mizuho Financial Group, its main lender."
1911,Imtech,Construction,Netherlands,2.42,6.19,0.18,3.68,1911,0.0489130434782609,0.0290791599353796,"Royal Imtech N.V. was a European technical services provider in the fields of electrical solutions, ICT (information and communication technology) and mechanical solutions. Its residence was in Gouda, Netherlands. Imtech shares were listed on the NYSE Euronext Stock Exchange in Amsterdam, where Imtech was included in the AEX Index. Imtech shares were also included in the Dow Jones STOXX 600 index. With 29,000 employees, Imtech achieved annual revenue of more than 5.1 billion euros in 2012.Imtech held positions in the building and industry markets in the Netherlands, Belgium, Luxembourg, Germany, Austria, Poland, Sweden, Norway, Finland, the UK, Ireland, Romania, Russia, Turkey and Spain, the European markets of ICT and Traffic as well as in the global marine market. In total Imtech served 24,000 customers."
1912,Fred. Olsen Energy,Oil & Gas Operations,Norway,2.35,1.14,0.47,2.39,1913,0.196652719665272,0.412280701754386,"Fred. Olsen & Co. is a shipping company based in Oslo, Norway. The company was founded by Petter Olsen in 1848. Today it is the holding company that controls the Olsen family's interest through Bonheur and Ganger Rolf."
1913,Rostelecom,Telecommunications Services,Russia,3.51,2.18,0.4,2.51,1913,0.159362549800797,0.18348623853211,"Rostelecom (Russian: ПАО «Ростелеком») is Russia's leading long-distance telephony provider.  Domestic long-distance service provides about 50% of the company's revenue; and international long-distance calls provide about 25%.
Rostelecom interconnects all local public operators’ networks into a single national network for long-distance service.  In other words, if one makes a long-distance call or originates Internet contact to or from Russia, it is likely that Rostelecom is providing part of the service. The company's stock trades primarily on the Moscow Exchange.

"
1914,PGN,Utilities,Indonesia,9.82,1.14,0.06,2.34,1915,0.0256410256410256,0.0526315789473684,NEEDS_MANUAL_SUMMARY
1915,LLB Group,Banking,Liechtenstein,1.84,0.91,0.14,21.78,1916,0.00642791551882461,0.153846153846154,"Maurice Raymond ""Hank"" Greenberg (born May 4, 1925) is an American business executive and former chairman and chief executive officer of American International Group (AIG), which was the world's 18th largest public company and the largest insurance and financial services corporation in history.
He is currently chairman and chief executive officer of C.V. Starr, a diversified financial services firm that is named for the founder of AIG, Cornelius Vander Starr.  He joined C.V. Starr as vice president in 1960 and was given the additional responsibilities of president of American Home Assurance Company in 1962.  He was elected director of C.V. Starr in 1965, chairman and chief executive officer in 1968 and continues in that role.  Greenberg is also the chairman of the board of directors and managing director of Starr International Company Inc.  C.V. Starr and Starr International are collectively known as the Starr Companies. Greenberg was named the most connected business executive in New York by Crain's New York Business."
1916,Aomori Bank,Banking,Japan,0.52,0.44,-0.14,21.74,1917,-0.00643974241030359,-0.318181818181818,"The Aomori Bank, Ltd. (株式会社青森銀行, Kabushiki-gaisha Aomori Ginkō) is a Japanese regional bank headquartered in Aomori, Aomori Prefecture, in the Tōhoku region of northern Honshū. 
The Aomori Bank provides financial services for individual and corporate customers, including deposits, loans, securities trading and investment, foreign exchange, and bond underwriting and registration services as well as credit card services.

"
1917,Chiba Kogyo Bank,Banking,Japan,0.38,0.5,-0.09,21.63,1918,-0.00416088765603329,-0.18,"The Chiba Kōgyō Bank is a Japanese regional bank founded in 1952 and located in Chiba city, the capital of Chiba Prefecture.
In 2016 the bank was number 1935 on the list of Forbes Global 2000 biggest public companies."
1918,Fukui Bank,Banking,Japan,0.81,0.52,-0.08,21.6,1919,-0.0037037037037037,-0.153846153846154,"Fukui Railway (福井鉄道株式会社, Fukui Tetsudō Kabushikigaisha) is a bus and railway company located in Echizen, Fukui Prefecture, Japan. It owns and operates the Fukubu Line between Tawaramachi Station in Fukui and Echizen-Takefu Station in Echizen.

"
1919,KKPC,Chemicals,South Korea,0.4,5.77,-0.04,8.09,1919,-0.0049443757725587106,-0.00693240901213172,"Kumho Petrochemical Co., Ltd. (abbr. KKPC; Korean: 금호석유화학 주식회사) is multinational chemical company based in South Korea, with headquarters in Seoul. It was founded in 1970 when Kumho Group struggled to secure raw materials for its bus and tire businesses. Kumho Petrochemical has a global market leadership in the manufacturing of synthetic rubbers with the world's largest production capacity based on SBR and BR by IISRP 2012. It focuses on synthetic rubbers, synthetic resins, specialty chemicals, electronic chemicals, energy, building materials and advanced materials as its core business.In 2011, Kumho Petrochemical was ranked at 1806th of 'the Global 2000' by Forbes. In 2013, it became a component of the KOSPI 100 index, which tracks 100 major companies listed on the Korea Stock Exchange.It changed its name from 'Korea Kumho Petrochemical' to 'Kumho Petrochemical' effective February 15, 2012.It was spun off from Kumho Asiana Group in December 2015.

"
1920,BEKB-BCBE,Banking,Switzerland,2.03,0.97,0.11,21.53,1921,0.00510915002322341,0.11340206185567,"The Lombard Odier Group is an independent Swiss banking group based in Geneva. Its operations are organised into three divisions: private banking (wealth management), asset management, and back and middle office services for other financial institutions (e.g. banking IT). 
At the end of 2020, the bank reported outstanding balances managed through these three divisions totalling CHF 290 billion in managed assets, which makes it one of the biggest players in the Swiss private banking sector.The group was formed in 2002, as  Lombard, Odier, Darier, Hentsch & Cie,  by the fusion of  Lombard, Odier & Cie and  Darier, Hentsch & Cie.
As the latter was originally founded in 1796, the group has a claim to being the oldest private bank in Geneva. 
The company name was simplified to  Lombard Odier Group  in 2010, although the firm continues to include on its official logo the names of the four founding partners.
Since 2014, the bank has held the status of Limited Liability Company (LLC). The Lombard Odier Group is a legal holding company under Swiss law, bearing the name Lombard Odier Company SCmA since 2016. This holding company owns all firms belonging to the group, most notably the bank Lombard, Odier & Cie SA, and Lombard Odier Asset Management (Europe) Limited in London, which forms the asset management branch of the group. Lombard Odier Investment Managers (LOIM) is the name the group is known by in the international field of asset management.
Outside of Switzerland, the bank has branches in the EU (centered in Luxembourg), in London, Moscow, in North America (New York, Boston, Montreal, Bermuda, Bahamas), Latin America (Panama, Uruguay), Asia (Hong Kong, Tokyo, Singapore, Dubai, Tel Aviv) and in South Africa.
Including its network of collaborators, the group has around 2,400 employees worldwide."
1921,Penske Automotive Gp,Retailing,United States,1.37,9.52,0.08,3.8,1921,0.0210526315789474,0.00840336134453782,"Team Penske (formerly Penske Racing) is an American professional auto racing organization, currently competing in the NTT IndyCar Series, NASCAR Cup Series and NASCAR Xfinity Series. Debuting at the 1966 24 Hours of Daytona, the organization has also competed in various other types of professional racing such as Formula One, Can-Am, Trans Am, IMSA and Australian Supercars. Altogether, Team Penske has earned over 500 victories and over 40 championships in all of auto racing. Team Penske is a division of Penske Corporation, and is owned and chaired by Roger Penske. The team president is Tim Cindric."
1922,AOC Holdings,Oil & Gas Operations,Japan,0.43,9.52,-0.33,3.57,1923,-0.092436974789916,-0.0346638655462185,"AOC Holdings (AOCホールディングス株式会社, Eiōshī Hōrudingusu Kabushiki-gaisha) (TYO: 5017) is a large Japanese oil and natural gas company based in Tokyo, Japan and specialised in exploring, developing, producing, selling, buying and refining oil and natural gas. AOC Holdings owns several large companies like the Arabian Oil Company, Norske AEDC and AOC Egypt Petroleum Company that operate and manage oil and gas fields in different parts of the world and the Fuji Oil Company that owns the Sodegaura Refinery with a capacity of 192,000 bbl/d (30,500 m3/d).

"
1923,Montpelier Re Holdings,Insurance,Bermuda,1.39,0.85,0.46,3.1,1923,0.148387096774194,0.541176470588235,
1924,Sino-Ocean Land Hldgs,Diversified Financials,China,5.22,0.95,0.2,6.33,1925,0.0315955766192733,0.210526315789474,"This is a list of companies on the Hong Kong Stock Exchange (HKEx), ordered numerically  by stock code.  The names of the companies appear exactly as they do on the stock exchange listing.  This is not an exhaustive list, but reflects the list that appears on HKEx's Hyperlink Directory. An exhaustive but un-linked list appears below the partial list.

"
1925,American Equity Invest,Insurance,United States,0.54,1.19,0.07,21.3,1926,0.00328638497652582,0.0588235294117647,"Vista Equity Partners (Vista) is an American private equity focused on cost-cutting, outsourcing, financing and forwarding software, data and technology-enabled startup businesses. Vista has invested in hundreds of companies, including Misys, Ping Identity, and Marketo.
The company has offices in several cities, including Austin, Texas; New York, New York; and San Francisco, California."
1926,Youngor Group,Household & Personal Products,China,4.97,1.56,0.23,4.67,1927,0.0492505353319058,0.147435897435897,"Youngor Group Company Limited (SSE: 600177) is a public textiles and clothing enterprise in Ningbo, Zhejiang, China. It is engaged in designing, manufacturing and selling clothing products with its ""Youngor"" brand for gentlemen’s clothing. Youngor was established in 1993, and it was listed on the Shanghai Stock Exchange in 1998.Youngor is primarily engaged in manufacture of apparels and textile products, as well as property development. Its major products are suits, shirts and casual wears, with the brand named Youngor, as well as woven fabrics. It also develops residential communities, villas and commercial office buildings in Ningbo and Hangzhou, Zhejiang province, as well as Suzhou, Jiangsu province. It operates its businesses in domestic and overseas markets.

"
1927,TPV Technology,Technology Hardware & Equip,Hong Kong/China,1.41,9.28,0.1,3.34,1928,0.029940119760479,0.0107758620689655,"TPV Technology Limited (informally TPV, Chinese: 冠捷科技) is a Fortune China 500 multinational electronics manufacturing company headquartered in Kwun Tong, Hong Kong, and incorporated in Bermuda. It is the world’s largest manufacturer of computer monitors with a 33% market share. TPV designs and produces a full range of CRT and TFT LCD monitors as well as LCD TVs for distribution globally. It owns brands such as AOC, Envision, and Philips for some products (TPV obtained the brand name of Philips from Koninklijke Philips N.V.). It is also an original design manufacturer for other companies.The company started privatization in late 2019.

"
1928,Commercial Bank Dubai,Banking,United Arab Emirates,1.83,0.68,0.22,10.01,1929,0.021978021978022,0.323529411764706,"Commercial Bank of Dubai (CBD) is a UAE banking and financial services corporation headquartered in Deira, Dubai. With more than $23 billion in assets, Gulf Business listed CBD as the 7th largest bank in the UAE, based on total assets. It also figures in the Dubai Financial Market index.

"
1929,Home Retail Group,Retailing,United Kingdom,3.37,8.46,-0.59,5.85,1930,-0.100854700854701,-0.0697399527186761,"Home Retail Group plc was a home and general merchandise retailer based in the United Kingdom. It was the parent company of Argos and Habitat, and once owned the do it yourself chain Homebase. before selling it to the Australian retailer Wesfarmers in February 2016. Home Retail Group was listed on the London Stock Exchange, until it was acquired by the British supermarket company Sainsbury's for £1.4 billion on 2 September 2016.

"
1930,Church & Dwight,Household & Personal Products,United States,4.75,2.52,0.24,3.12,1931,0.0769230769230769,0.0952380952380952,"Church & Dwight Co., Inc., is a major American manufacturer of household products that is headquartered in Ewing, New Jersey. While it manufactures many items, it is best known for its Arm & Hammer line which includes baking soda and a variety of products made with it, including laundry detergent. Church & Dwight is incorporated in Delaware.

"
1931,Maruha Nichiro Hldgs,"Food, Drink & Tobacco",Japan,0.72,9.22,-0.06,5.13,1931,-0.0116959064327485,-0.00650759219088937,NEEDS_MANUAL_SUMMARY
